epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
1,1,1,0.98321438,0.98321438
1,1,1,0.98321438,0.98321438
1,1,1,0.98321438,0.98321438
1,1,1,0.98321438,0.98321438
1,2,2,3.29056931,2.13689184
1,2,2,3.29056931,2.13689184
1,2,2,3.29056931,2.13689184
1,2,2,3.29056931,2.13689184
1,3,3,1.50580931,1.92653100
1,3,3,1.50580931,1.92653100
1,3,3,1.50580931,1.92653100
1,3,3,1.50580931,1.92653100
1,4,4,1.80341792,1.89575273
1,4,4,1.80341792,1.89575273
1,4,4,1.80341792,1.89575273
1,4,4,1.80341792,1.89575273
1,5,5,0.31867272,1.58033673
1,5,5,0.31867272,1.58033673
1,5,5,0.31867272,1.58033673
1,5,5,0.31867272,1.58033673
1,6,6,1.97505736,1.77870532
1,6,6,1.97505736,1.77870532
1,6,6,1.97505736,1.77870532
1,6,6,1.97505736,1.77870532
1,7,7,2.84972429,1.69053632
1,7,7,2.84972429,1.69053632
1,7,7,2.84972429,1.69053632
1,7,7,2.84972429,1.69053632
1,8,8,0.57583141,1.50454074
1,8,8,0.57583141,1.50454074
1,8,8,0.57583141,1.50454074
1,8,8,0.57583141,1.50454074
1,9,9,1.61003959,1.46586508
1,9,9,1.61003959,1.46586508
1,9,9,1.61003959,1.46586508
1,9,9,1.61003959,1.46586508
1,10,10,1.60761452,1.72365344
1,10,10,1.60761452,1.72365344
1,10,10,1.60761452,1.72365344
1,10,10,1.60761452,1.72365344
1,11,11,1.82243443,1.69312885
1,11,11,1.82243443,1.69312885
1,11,11,1.82243443,1.69312885
1,11,11,1.82243443,1.69312885
1,12,12,1.36633778,1.39645154
1,12,12,1.36633778,1.39645154
1,12,12,1.36633778,1.39645154
1,12,12,1.36633778,1.39645154
1,13,13,-0.73888230,1.13350880
1,13,13,-0.73888230,1.13350880
1,13,13,-0.73888230,1.13350880
1,13,13,-0.73888230,1.13350880
2,1,14,2.16639376,1.24477963
2,1,14,2.16639376,1.24477963
2,1,14,2.16639376,1.24477963
2,1,14,2.16639376,1.24477963
2,2,15,0.46168393,1.01559352
2,2,15,0.46168393,1.01559352
2,2,15,0.46168393,1.01559352
2,2,15,0.46168393,1.01559352
2,3,16,2.09812474,1.07073158
2,3,16,2.09812474,1.07073158
2,3,16,2.09812474,1.07073158
2,3,16,2.09812474,1.07073158
2,4,17,2.81261206,1.35998644
2,4,17,2.81261206,1.35998644
2,4,17,2.81261206,1.35998644
2,4,17,2.81261206,1.35998644
2,5,18,2.42740822,1.99324454
2,5,18,2.42740822,1.99324454
2,5,18,2.42740822,1.99324454
2,5,18,2.42740822,1.99324454
2,6,19,1.95114851,1.95019549
2,6,19,1.95114851,1.95019549
2,6,19,1.95114851,1.95019549
2,6,19,1.95114851,1.95019549
2,7,20,1.38780665,2.13542004
2,7,20,1.38780665,2.13542004
2,7,20,1.38780665,2.13542004
2,7,20,1.38780665,2.13542004
2,8,21,2.24180174,2.16415544
2,8,21,2.24180174,2.16415544
2,8,21,2.24180174,2.16415544
2,8,21,2.24180174,2.16415544
2,9,22,2.27412748,2.05645852
2,9,22,2.27412748,2.05645852
2,9,22,2.27412748,2.05645852
2,9,22,2.27412748,2.05645852
2,10,23,2.64885736,2.10074835
2,10,23,2.64885736,2.10074835
2,10,23,2.64885736,2.10074835
2,10,23,2.64885736,2.10074835
2,11,24,0.10549959,1.73161856
2,11,24,0.10549959,1.73161856
2,11,24,0.10549959,1.73161856
2,11,24,0.10549959,1.73161856
2,12,25,2.74057078,2.00217139
2,12,25,2.74057078,2.00217139
2,12,25,2.74057078,2.00217139
2,12,25,2.74057078,2.00217139
2,13,26,2.55756211,2.06532346
2,13,26,2.55756211,2.06532346
2,13,26,2.55756211,2.06532346
2,13,26,2.55756211,2.06532346
3,1,27,0.86401057,1.78330008
3,1,27,0.86401057,1.78330008
3,1,27,0.86401057,1.78330008
3,1,27,0.86401057,1.78330008
3,2,28,1.85834968,1.62519855
3,2,28,1.85834968,1.62519855
3,2,28,1.85834968,1.62519855
3,2,28,1.85834968,1.62519855
3,3,29,0.75851870,1.75580237
3,3,29,0.75851870,1.75580237
3,3,29,0.75851870,1.75580237
3,3,29,0.75851870,1.75580237
3,4,30,2.44705629,1.69709947
3,4,30,2.44705629,1.69709947
3,4,30,2.44705629,1.69709947
3,4,30,2.44705629,1.69709947
3,5,31,1.51765919,1.48911889
3,5,31,1.51765919,1.48911889
3,5,31,1.51765919,1.48911889
3,5,31,1.51765919,1.48911889
3,6,32,2.32700133,1.78171704
3,6,32,2.32700133,1.78171704
