epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
1,1,1,2.32413650,2.32413650
1,1,1,2.32413650,2.32413650
1,1,1,2.32413650,2.32413650
1,1,1,2.32413650,2.32413650
1,2,2,3.44646215,2.88529932
1,2,2,3.44646215,2.88529932
1,2,2,3.44646215,2.88529932
1,2,2,3.44646215,2.88529932
1,3,3,-0.26101357,1.83652836
1,3,3,-0.26101357,1.83652836
1,3,3,-0.26101357,1.83652836
1,3,3,-0.26101357,1.83652836
1,4,4,1.36001253,1.71739940
1,4,4,1.36001253,1.71739940
1,4,4,1.36001253,1.71739940
1,4,4,1.36001253,1.71739940
1,5,5,0.16443896,1.40680732
1,5,5,0.16443896,1.40680732
1,5,5,0.16443896,1.40680732
1,5,5,0.16443896,1.40680732
1,6,6,1.97628748,1.33723751
1,6,6,1.97628748,1.33723751
1,6,6,1.97628748,1.33723751
1,6,6,1.97628748,1.33723751
1,7,7,0.13980038,0.67590516
1,7,7,0.13980038,0.67590516
1,7,7,0.13980038,0.67590516
1,7,7,0.13980038,0.67590516
1,8,8,3.04444790,1.33699745
1,8,8,3.04444790,1.33699745
1,8,8,3.04444790,1.33699745
1,8,8,3.04444790,1.33699745
1,9,9,1.48498774,1.36199249
1,9,9,1.48498774,1.36199249
1,9,9,1.48498774,1.36199249
1,9,9,1.48498774,1.36199249
1,10,10,1.35014975,1.59913465
1,10,10,1.35014975,1.59913465
1,10,10,1.35014975,1.59913465
1,10,10,1.35014975,1.59913465
1,11,11,1.36983824,1.47784480
1,11,11,1.36983824,1.47784480
1,11,11,1.36983824,1.47784480
1,11,11,1.36983824,1.47784480
1,12,12,3.20024920,2.08993456
1,12,12,3.20024920,2.08993456
1,12,12,3.20024920,2.08993456
1,12,12,3.20024920,2.08993456
1,13,13,2.47752476,1.97654994
1,13,13,2.47752476,1.97654994
1,13,13,2.47752476,1.97654994
1,13,13,2.47752476,1.97654994
2,1,14,1.12369967,1.90429232
2,1,14,1.12369967,1.90429232
2,1,14,1.12369967,1.90429232
2,1,14,1.12369967,1.90429232
2,2,15,2.08031178,2.05032473
2,2,15,2.08031178,2.05032473
2,2,15,2.08031178,2.05032473
2,2,15,2.08031178,2.05032473
2,3,16,2.59261203,2.29487948
2,3,16,2.59261203,2.29487948
2,3,16,2.59261203,2.29487948
2,3,16,2.59261203,2.29487948
2,4,17,0.49009952,1.75284955
2,4,17,0.49009952,1.75284955
2,4,17,0.49009952,1.75284955
2,4,17,0.49009952,1.75284955
2,5,18,2.55931091,1.76920678
2,5,18,2.55931091,1.76920678
2,5,18,2.55931091,1.76920678
2,5,18,2.55931091,1.76920678
2,6,19,0.96042383,1.73655161
2,6,19,0.96042383,1.73655161
2,6,19,0.96042383,1.73655161
2,6,19,0.96042383,1.73655161
2,7,20,0.50356352,1.42120196
2,7,20,0.50356352,1.42120196
2,7,20,0.50356352,1.42120196
2,7,20,0.50356352,1.42120196
2,8,21,3.07769966,1.51821949
2,8,21,3.07769966,1.51821949
2,8,21,3.07769966,1.51821949
2,8,21,3.07769966,1.51821949
2,9,22,2.20286131,1.86077185
2,9,22,2.20286131,1.86077185
2,9,22,2.20286131,1.86077185
2,9,22,2.20286131,1.86077185
2,10,23,2.35496235,1.81990213
2,10,23,2.35496235,1.81990213
2,10,23,2.35496235,1.81990213
2,10,23,2.35496235,1.81990213
2,11,24,2.86101341,2.20002005
2,11,24,2.86101341,2.20002005
2,11,24,2.86101341,2.20002005
2,11,24,2.86101341,2.20002005
2,12,25,2.93677306,2.68666196
2,12,25,2.93677306,2.68666196
2,12,25,2.93677306,2.68666196
2,12,25,2.93677306,2.68666196
2,13,26,2.71024871,2.61317177
2,13,26,2.71024871,2.61317177
2,13,26,2.71024871,2.61317177
2,13,26,2.71024871,2.61317177
3,1,27,-0.34901226,2.10279706
3,1,27,-0.34901226,2.10279706
3,1,27,-0.34901226,2.10279706
3,1,27,-0.34901226,2.10279706
3,2,28,1.72021163,1.97584691
3,2,28,1.72021163,1.97584691
